sample_id,filename,width_px,height_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,ground_truth_yaw,ground_truth_pitch,ground_truth_roll,ground_truth_emotion,source_benchmark
IVP_REV1_001,sample_001.jpg,55,72,392,84,435,140,34.84,-11.38,175.88,Neutral,Dlib_IBUG_300W
IVP_REV1_002,sample_002.jpg,38,52,201,89,231,129,32.6,-11.71,172.63,Neutral,Dlib_IBUG_300W
IVP_REV1_003,sample_003.jpg,44,58,300,79,334,125,29.55,-8.58,176.78,Neutral,Dlib_IBUG_300W
IVP_REV1_004,sample_004.jpg,46,58,322,231,358,277,41.31,3.28,-171.28,Neutral,Dlib_IBUG_300W
IVP_REV1_005,sample_005.jpg,38,52,184,209,214,249,51.75,4.79,-174.47,Neutral,Dlib_IBUG_300W
IVP_REV1_006,sample_006.jpg,81,105,149,77,212,158,-1.35,-22.55,-179.87,Neutral,Dlib_IBUG_300W
IVP_REV1_007,sample_007.jpg,101,135,133,198,212,303,30.0,1.32,177.78,Neutral,Dlib_IBUG_300W
IVP_REV1_008,sample_008.jpg,88,124,105,145,173,241,-5.99,0.99,-177.38,Neutral,Dlib_IBUG_300W
IVP_REV1_009,sample_009.jpg,80,104,234,202,296,282,27.85,4.88,-177.58,Neutral,Dlib_IBUG_300W
IVP_REV1_010,sample_010.jpg,104,131,358,148,438,249,9.94,1.81,178.96,Neutral,Dlib_IBUG_300W
IVP_REV1_011,sample_011.jpg,61,75,31,183,78,242,-34.82,-2.75,176.33,Happy,Dlib_IBUG_300W
IVP_REV1_012,sample_012.jpg,62,79,442,162,490,223,20.37,-4.86,-177.4,Happy,Dlib_IBUG_300W
IVP_REV1_013,sample_013.jpg,46,61,60,124,96,171,-32.33,-7.75,-177.15,Happy,Dlib_IBUG_300W
IVP_REV1_014,sample_014.jpg,46,61,410,159,446,206,-85.06,-3.19,-179.39,Happy,Dlib_IBUG_300W
IVP_REV1_015,sample_015.jpg,40,49,349,133,381,172,29.23,-5.07,175.69,Happy,Dlib_IBUG_300W
IVP_REV1_016,sample_016.jpg,56,80,279,171,323,233,14.09,8.9,-177.65,Happy,Dlib_IBUG_300W
IVP_REV1_017,sample_017.jpg,54,65,54,149,96,200,-9.21,0.54,178.75,Happy,Dlib_IBUG_300W
IVP_REV1_018,sample_018.jpg,38,52,184,80,214,120,40.12,-11.88,178.1,Happy,Dlib_IBUG_300W
IVP_REV1_019,sample_019.jpg,54,73,328,44,370,101,16.73,-2.04,174.66,Happy,Dlib_IBUG_300W
