sample_id,seq_id,frame_idx,filename,timestamp_ms,inter_frame_mad,landmark_velocity_px_sec
300VW_seq001_0000,seq_001,0,sequences\seq_001\frame_0000.jpg,0.0,0.0,0.0
300VW_seq001_0001,seq_001,1,sequences\seq_001\frame_0001.jpg,50.0,0.6775,13.55
300VW_seq001_0002,seq_001,2,sequences\seq_001\frame_0002.jpg,100.0,28.4334,568.67
300VW_seq001_0003,seq_001,3,sequences\seq_001\frame_0003.jpg,150.0,47.8032,956.06
300VW_seq001_0004,seq_001,4,sequences\seq_001\frame_0004.jpg,200.0,37.3105,746.21
300VW_seq001_0005,seq_001,5,sequences\seq_001\frame_0005.jpg,250.0,0.332,6.64
300VW_seq001_0006,seq_001,6,sequences\seq_001\frame_0006.jpg,300.0,37.7021,754.04
300VW_seq001_0007,seq_001,7,sequences\seq_001\frame_0007.jpg,350.0,28.0324,560.65
300VW_seq001_0008,seq_001,8,sequences\seq_001\frame_0008.jpg,400.0,26.5271,530.54
300VW_seq001_0009,seq_001,9,sequences\seq_001\frame_0009.jpg,450.0,0.2002,4.0
300VW_seq001_0010,seq_001,10,sequences\seq_001\frame_0010.jpg,500.0,19.6709,393.42
300VW_seq001_0011,seq_001,11,sequences\seq_001\frame_0011.jpg,550.0,19.4594,389.19
300VW_seq001_0012,seq_001,12,sequences\seq_001\frame_0012.jpg,600.0,18.6985,373.97
300VW_seq001_0013,seq_001,13,sequences\seq_001\frame_0013.jpg,650.0,0.1795,3.59
300VW_seq001_0014,seq_001,14,sequences\seq_001\frame_0014.jpg,700.0,15.487,309.74
300VW_seq001_0015,seq_001,15,sequences\seq_001\frame_0015.jpg,750.0,13.5626,271.25
300VW_seq001_0016,seq_001,16,sequences\seq_001\frame_0016.jpg,800.0,13.5622,271.24
300VW_seq001_0017,seq_001,17,sequences\seq_001\frame_0017.jpg,850.0,0.3763,7.53
300VW_seq001_0018,seq_001,18,sequences\seq_001\frame_0018.jpg,900.0,12.1286,242.57
300VW_seq001_0019,seq_001,19,sequences\seq_001\frame_0019.jpg,950.0,11.783,235.66
300VW_seq001_0020,seq_001,20,sequences\seq_001\frame_0020.jpg,1000.0,75.2706,1505.41
300VW_seq001_0021,seq_001,21,sequences\seq_001\frame_0021.jpg,1050.0,0.0722,1.44
