sample_id,filename,ground_truth_yaw,ground_truth_pitch,ground_truth_roll,is_large_pose
3DDFA_0001,aflw3d_001_emma.jpg,8.5,-4.2,1.8,False
3DDFA_0002,aflw3d_002_JianzhuGuo.jpg,-12.4,6.1,-2.5,False
3DDFA_0003,aflw3d_003_trump_hillary.jpg,32.1,-15.8,8.4,False
3DDFA_0004,aflw3d_004_emma_input.jpg,9.0,-3.8,1.5,False
3DDFA_0005,aflw3d_005_aflw-test.jpg,-48.5,12.0,-10.2,True
3DDFA_0006,3ddfa_sample_001.jpg,34.84,-11.38,175.88,False
3DDFA_0007,3ddfa_sample_002.jpg,32.6,-11.71,172.63,False
3DDFA_0008,3ddfa_sample_003.jpg,29.55,-8.58,176.78,False
3DDFA_0009,3ddfa_sample_004.jpg,41.31,3.28,-171.28,False
3DDFA_0010,3ddfa_sample_005.jpg,51.75,4.79,-174.47,True
3DDFA_0011,3ddfa_sample_006.jpg,-1.35,-22.55,-179.87,False
3DDFA_0012,3ddfa_sample_007.jpg,30.0,1.32,177.78,False
3DDFA_0013,3ddfa_sample_008.jpg,-5.99,0.99,-177.38,False
3DDFA_0014,3ddfa_sample_009.jpg,27.85,4.88,-177.58,False
3DDFA_0015,3ddfa_sample_010.jpg,9.94,1.81,178.96,False
3DDFA_0016,3ddfa_sample_011.jpg,-34.82,-2.75,176.33,False
3DDFA_0017,3ddfa_sample_012.jpg,20.37,-4.86,-177.4,False
3DDFA_0018,3ddfa_sample_013.jpg,-32.33,-7.75,-177.15,False
3DDFA_0019,3ddfa_sample_014.jpg,-85.06,-3.19,-179.39,True
3DDFA_0020,3ddfa_sample_015.jpg,29.23,-5.07,175.69,False
3DDFA_0021,3ddfa_sample_016.jpg,14.09,8.9,-177.65,False
3DDFA_0022,3ddfa_sample_017.jpg,-9.21,0.54,178.75,False
3DDFA_0023,3ddfa_sample_018.jpg,40.12,-11.88,178.1,False
3DDFA_0024,3ddfa_sample_019.jpg,16.73,-2.04,174.66,False
3DDFA_0025,3ddfa_sample_020.jpg,25.24,-3.31,176.51,False
3DDFA_0026,3ddfa_sample_021.jpg,11.32,-2.76,178.03,False
3DDFA_0027,3ddfa_sample_022.jpg,-13.41,-13.12,-175.02,False
3DDFA_0028,3ddfa_sample_023.jpg,14.53,-1.29,170.72,False
3DDFA_0029,3ddfa_sample_024.jpg,7.22,7.9,178.85,False
3DDFA_0030,3ddfa_sample_025.jpg,32.8,-16.05,170.93,False
3DDFA_0031,3ddfa_sample_026.jpg,6.73,-10.4,176.98,False
3DDFA_0032,3ddfa_sample_027.jpg,29.48,-16.17,173.58,False
3DDFA_0033,3ddfa_sample_028.jpg,-22.09,-15.58,-170.0,False
3DDFA_0034,3ddfa_sample_029.jpg,-36.63,-24.18,-164.42,False
3DDFA_0035,3ddfa_sample_030.jpg,39.35,-18.35,167.34,False
3DDFA_0036,3ddfa_sample_031.jpg,-13.49,-0.39,-176.72,False
3DDFA_0037,3ddfa_sample_032.jpg,13.13,3.37,178.14,False
3DDFA_0038,3ddfa_sample_033.jpg,-14.25,-11.24,-176.84,False
3DDFA_0039,3ddfa_sample_034.jpg,-11.19,1.48,179.83,False
3DDFA_0040,3ddfa_sample_035.jpg,19.73,-5.09,178.35,False
3DDFA_0041,3ddfa_sample_036.jpg,-25.23,-10.86,-177.57,False
3DDFA_0042,3ddfa_sample_037.jpg,-20.76,-2.89,-178.62,False
3DDFA_0043,3ddfa_sample_038.jpg,-17.26,-29.63,-169.36,False
3DDFA_0044,3ddfa_sample_039.jpg,-24.02,11.0,174.83,False
3DDFA_0045,3ddfa_sample_040.jpg,-6.71,6.08,-177.37,False
3DDFA_0046,3ddfa_sample_041.jpg,2.45,25.59,-178.77,False
3DDFA_0047,3ddfa_sample_042.jpg,-32.79,30.15,167.12,False
3DDFA_0048,3ddfa_sample_043.jpg,14.64,4.07,-177.79,False
3DDFA_0049,3ddfa_sample_044.jpg,46.91,-24.95,165.22,True
3DDFA_0050,3ddfa_sample_045.jpg,32.64,-9.23,169.69,False
