sample_id,filename,yaw_deg,pitch_deg,roll_deg,trans_x_mm,trans_y_mm,trans_z_mm
BIWI_0001,01frame_00004.png,-7.79,-2.44,3.6,0.0,0.0,1000.0
BIWI_0006,01frame_00009.png,-7.68,-2.3,3.34,0.0,0.0,1000.0
BIWI_0037,01frame_00040.png,-31.6,-6.16,45.89,0.0,0.0,1000.0
BIWI_0046,01frame_00049.png,-35.53,-6.45,39.56,0.0,0.0,1000.0
BIWI_0014,01frame_00017.png,-8.29,-2.27,5.36,0.0,0.0,1000.0
BIWI_0055,01frame_00058.png,-34.99,-5.22,34.51,0.0,0.0,1000.0
BIWI_0034,01frame_00037.png,-30.23,-5.66,45.92,0.0,0.0,1000.0
BIWI_0049,01frame_00052.png,-35.48,-6.34,37.59,0.0,0.0,1000.0
BIWI_0013,01frame_00016.png,-8.11,-2.59,4.35,0.0,0.0,1000.0
BIWI_0058,01frame_00061.png,-33.54,-4.92,29.53,0.0,0.0,1000.0
BIWI_0047,01frame_00050.png,-35.71,-6.33,38.98,0.0,0.0,1000.0
BIWI_0051,01frame_00054.png,-35.91,-7.5,36.07,0.0,0.0,1000.0
BIWI_0032,01frame_00035.png,-28.01,-3.06,45.73,0.0,0.0,1000.0
BIWI_0004,01frame_00007.png,-7.86,-2.57,3.11,0.0,0.0,1000.0
BIWI_0053,01frame_00056.png,-35.11,-6.35,35.34,0.0,0.0,1000.0
BIWI_0018,01frame_00021.png,-10.57,-1.17,11.97,0.0,0.0,1000.0
BIWI_0009,01frame_00012.png,-7.72,-2.44,3.5,0.0,0.0,1000.0
BIWI_0007,01frame_00010.png,-7.83,-2.67,3.46,0.0,0.0,1000.0
BIWI_0041,01frame_00044.png,-34.24,-6.29,43.78,0.0,0.0,1000.0
BIWI_0005,01frame_00008.png,-7.7,-2.76,3.73,0.0,0.0,1000.0
BIWI_0044,01frame_00047.png,-36.07,-7.29,40.96,0.0,0.0,1000.0
BIWI_0020,01frame_00023.png,-14.86,-1.18,18.28,0.0,0.0,1000.0
BIWI_0035,01frame_00038.png,-30.95,-5.57,46.96,0.0,0.0,1000.0
BIWI_0059,01frame_00062.png,-32.86,-4.17,26.8,0.0,0.0,1000.0
BIWI_0026,01frame_00029.png,-23.07,-3.55,48.87,0.0,0.0,1000.0
BIWI_0057,01frame_00060.png,-34.55,-5.55,31.15,0.0,0.0,1000.0
BIWI_0016,01frame_00019.png,-9.21,-2.36,8.12,0.0,0.0,1000.0
BIWI_0028,01frame_00031.png,-23.42,-2.5,47.56,0.0,0.0,1000.0
BIWI_0010,01frame_00013.png,-7.63,-2.2,3.75,0.0,0.0,1000.0
BIWI_0031,01frame_00034.png,-27.36,-4.58,44.64,0.0,0.0,1000.0
BIWI_0027,01frame_00030.png,-22.78,-2.46,48.97,0.0,0.0,1000.0
BIWI_0017,01frame_00020.png,-9.75,-1.48,9.43,0.0,0.0,1000.0
BIWI_0025,01frame_00028.png,-22.15,-2.95,48.06,0.0,0.0,1000.0
BIWI_0056,01frame_00059.png,-34.85,-5.27,33.22,0.0,0.0,1000.0
BIWI_0012,01frame_00015.png,-7.99,-2.47,3.63,0.0,0.0,1000.0
BIWI_0033,01frame_00036.png,-29.41,-4.19,46.14,0.0,0.0,1000.0
BIWI_0054,01frame_00057.png,-35.61,-6.3,34.94,0.0,0.0,1000.0
BIWI_0042,01frame_00045.png,-35.68,-7.28,42.64,0.0,0.0,1000.0
BIWI_0038,01frame_00041.png,-31.98,-5.03,46.26,0.0,0.0,1000.0
BIWI_0030,01frame_00033.png,-26.09,-3.97,44.78,0.0,0.0,1000.0
BIWI_0045,01frame_00048.png,-35.65,-6.74,40.06,0.0,0.0,1000.0
BIWI_0002,01frame_00005.png,-7.58,-2.41,3.38,0.0,0.0,1000.0
