emotion_label,emotion_class_idx,split_source,sample_id,filename
Sad,3,FER2013_Legend_Distribution,FER_0074,Antonio_Cassano_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0020,Abdoulaye_Wade_0003.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0117,Sourav_Ganguly_0002.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0068,Andreas_Vinciguerra_0001.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0095,Dwarakish_103.jpg
Anger,4,FER2013_Legend_Distribution,FER_0078,Atal_Bihari_Vajpayee_0010.jpg
Happy,1,FER2013_Legend_Distribution,FER_0032,Abdullah_Gul_0012.jpg
Sad,3,FER2013_Legend_Distribution,FER_0054,Amanda_Coetzer_0001.jpg
Fear,6,FER2013_Legend_Distribution,FER_0118,Stephanie_Cohen_Aloro_0001.jpg
Sad,3,FER2013_Legend_Distribution,FER_0045,Alexander_Losyukov_0003.jpg
Happy,1,FER2013_Legend_Distribution,FER_0005,Aaron_Peirsol_0002.jpg
Fear,6,FER2013_Legend_Distribution,FER_0105,Jackie_Chan_0006.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0037,Adam_Mair_0001.jpg
Fear,6,FER2013_Legend_Distribution,FER_0098,Dwarakish_14.jpg
Sad,3,FER2013_Legend_Distribution,FER_0079,Aung_San_Suu_Kyi_0002.jpg
Happy,1,FER2013_Legend_Distribution,FER_0019,Abdoulaye_Wade_0002.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0092,Dan_LaCoutre_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0011,Aaron_Tippin_0001.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0056,Amelie_Mauresmo_0002.jpg
Happy,1,FER2013_Legend_Distribution,FER_0012,Abba_Eban_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0046,Alexander_Lukashenko_0001.jpg
Happy,1,FER2013_Legend_Distribution,FER_0027,Abdullah_Ahmad_Badawi_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0077,Arnold_Schwarzenegger_0023.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0001,Aaron_Eckhart_0001.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0057,Amelie_Mauresmo_0005.jpg
Sad,3,FER2013_Legend_Distribution,FER_0041,Alain_Cervantes_0001.jpg
Sad,3,FER2013_Legend_Distribution,FER_0069,Andrew_Shutley_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0013,Abbas_Kiarostami_0001.jpg
Fear,6,FER2013_Legend_Distribution,FER_0111,Mirela_Manjani_0001.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0125,facial-expressions_2868585k.jpg
Happy,1,FER2013_Legend_Distribution,FER_0028,Abdullah_Gul_0002.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0025,Abdullah_0003.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0048,Allen_Iverson_0001.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0110,Mary_Carey_0004.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0124,facial-expressions_2868584k.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0016,Abdel_Nasser_Assidi_0001.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0097,Dwarakish_105.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0023,Abdullah_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0043,Alejandro_Toledo_0004.jpg
Anger,4,FER2013_Legend_Distribution,FER_0063,Anastasia_Myskina_0003.jpg
Fear,6,FER2013_Legend_Distribution,FER_0116,Ruano_Pascual_0001.jpg
Happy,1,FER2013_Legend_Distribution,FER_0031,Abdullah_Gul_0005.jpg
Sad,3,FER2013_Legend_Distribution,FER_0066,Andre_Agassi_0014.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0096,Dwarakish_104.jpg
Happy,1,FER2013_Legend_Distribution,FER_0010,Aaron_Sorkin_0002.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0034,Abdullah_al-Attiyah_0003.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0065,Andre_Agassi_0012.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0026,Abdullah_0004.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0114,Paula_Radcliffe_0004.jpg
Happy,1,FER2013_Legend_Distribution,FER_0029,Abdullah_Gul_0003.jpg
Fear,6,FER2013_Legend_Distribution,FER_0081,Avinash_28.jpg
Anger,4,FER2013_Legend_Distribution,FER_0090,Bob_Huggins_0004.jpg
Happy,1,FER2013_Legend_Distribution,FER_0006,Aaron_Peirsol_0003.jpg
Sad,3,FER2013_Legend_Distribution,FER_0067,Andre_Agassi_0034.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0121,Thomas_Scavone_0001.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0040,Al_Sharpton_0005.jpg
Anger,4,FER2013_Legend_Distribution,FER_0050,Alvaro_Noboa_0002.jpg
Happy,1,FER2013_Legend_Distribution,FER_0036,Abner_Martinez_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0017,Abdel_Nasser_Assidi_0002.jpg
Sad,3,FER2013_Legend_Distribution,FER_0070,Anette_Hosoi_0001.jpg
Happy,1,FER2013_Legend_Distribution,FER_0035,Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg
Sad,3,FER2013_Legend_Distribution,FER_0084,Beth_Blough_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0008,Aaron_Pena_0001.jpg
Fear,6,FER2013_Legend_Distribution,FER_0120,Steve_Nash_0004.jpg
Sad,3,FER2013_Legend_Distribution,FER_0044,Alessandra_Cerna_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0071,Angelina_Jolie_0005.jpg
Fear,6,FER2013_Legend_Distribution,FER_0102,Erika_Harold_0002.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0122,Tyler_Hamilton_0001.jpg
Happy,1,FER2013_Legend_Distribution,FER_0009,Aaron_Sorkin_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0014,Abdel_Aziz_Al-Hakim_0001.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0094,Dwarakish_1.jpg
Happy,1,FER2013_Legend_Distribution,FER_0004,Aaron_Peirsol_0001.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0018,Abdoulaye_Wade_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0039,Al_Gore_0002.jpg
Sad,3,FER2013_Legend_Distribution,FER_0073,Anna_Kournikova_0011.jpg
Fear,6,FER2013_Legend_Distribution,FER_0099,Dwarakish_195.jpg
Neutral,0,FER2013_Legend_Distribution,FER_0007,Aaron_Peirsol_0004.jpg
Fear,6,FER2013_Legend_Distribution,FER_0082,Avinash_29.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0109,Mahathir_Mohamad_0003.jpg
Fear,6,FER2013_Legend_Distribution,FER_0101,Ellen_DeGeneres_0002.jpg
Sad,3,FER2013_Legend_Distribution,FER_0055,Amber_Frey_0001.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0051,Alvaro_Silva_Calderon_0001.jpg
Sad,3,FER2013_Legend_Distribution,FER_0085,Beth_Jones_0002.jpg
Anger,4,FER2013_Legend_Distribution,FER_0047,Alicia_Hollowell_0001.jpg
Anger,4,FER2013_Legend_Distribution,FER_0086,Bill_Graham_0005.jpg
Surprise,2,FER2013_Legend_Distribution,FER_0062,Anastasia_Myskina_0002.jpg
Fear,6,FER2013_Legend_Distribution,FER_0123,facial-expressions_2868582k.jpg
Disgust,5,FER2013_Legend_Distribution,FER_0080,Avinash_2.jpg
