sample_id,filename,ground_truth_pitch,ground_truth_yaw,eye_crop_available
MPII_0001,mpii_sample_001.jpg,-8.5,12.2,True
MPII_0002,mpii_sample_002.jpg,25.4,-3.1,True
MPII_0003,mpii_sample_003.jpg,-2.0,-28.6,True
MPII_0004,mpii_sample_004.jpg,4.2,-6.1,True
MPII_0005,mpii_sample_005.jpg,-14.5,18.0,True
MPII_0006,mpii_sample_006.jpg,12.3,-19.4,True
MPII_0007,mpii_sample_007.jpg,0.5,2.1,True
MPII_0008,mpii_sample_008.jpg,-22.1,8.4,True
MPII_0009,mpii_sample_009.jpg,18.9,15.2,True
MPII_0010,mpii_sample_010.jpg,-5.4,-14.2,True
MPII_0011,mpii_sample_011.jpg,7.8,22.0,True
MPII_0012,mpii_sample_012.jpg,-16.2,-8.7,True
MPII_0013,mpii_sample_013.jpg,3.1,0.0,True
MPII_0014,mpii_sample_014.jpg,-1.2,14.5,True
MPII_0015,mpii_sample_015.jpg,21.0,-11.3,True
MPII_0016,mpii_sample_016.jpg,-10.4,-20.1,True
MPII_0017,mpii_sample_017.jpg,15.6,9.8,True
MPII_0018,mpii_sample_018.jpg,-4.3,16.7,True
MPII_0019,mpii_sample_019.jpg,8.9,-15.4,True
MPII_0020,mpii_sample_020.jpg,-19.0,4.3,True
MPII_0021,mpii_sample_021.jpg,11.2,-6.8,True
MPII_0022,mpii_sample_022.jpg,-7.5,-12.4,True
MPII_0023,mpii_sample_023.jpg,2.4,25.1,True
MPII_0024,mpii_sample_024.jpg,-13.8,11.0,True
MPII_0025,mpii_sample_025.jpg,17.4,-18.2,True
MPII_0026,mpii_sample_026.jpg,-0.8,5.5,True
MPII_0027,mpii_sample_027.jpg,9.5,-24.0,True
MPII_0028,mpii_sample_028.jpg,-21.5,-3.8,True
MPII_0029,mpii_sample_029.jpg,14.0,13.9,True
MPII_0030,mpii_sample_030.jpg,-6.1,-17.5,True
MPII_0031,mpii_sample_031.jpg,6.7,19.3,True
MPII_0032,mpii_sample_032.jpg,-15.0,7.2,True
MPII_0033,mpii_sample_033.jpg,20.3,-8.5,True
MPII_0034,mpii_sample_034.jpg,-8.9,-22.3,True
MPII_0035,mpii_sample_035.jpg,1.5,12.0,True
MPII_0036,mpii_sample_036.jpg,-11.7,16.4,True
MPII_0037,mpii_sample_037.jpg,16.8,-14.1,True
MPII_0038,mpii_sample_038.jpg,-3.5,8.9,True
MPII_0039,mpii_sample_039.jpg,10.1,-10.5,True
MPII_0040,mpii_sample_040.jpg,-18.2,-6.4,True
MPII_0041,mpii_sample_041.jpg,13.5,21.4,True
MPII_0042,mpii_sample_042.jpg,-5.0,-15.8,True
MPII_0043,mpii_sample_043.jpg,5.2,17.6,True
MPII_0044,mpii_sample_044.jpg,-14.1,-11.2,True
MPII_0045,mpii_sample_045.jpg,19.5,-5.0,True
MPII_0046,mpii_sample_046.jpg,-9.8,23.5,True
MPII_0047,mpii_sample_047.jpg,0.0,-1.5,True
MPII_0048,mpii_sample_048.jpg,-12.5,14.0,True
MPII_0049,mpii_sample_049.jpg,15.0,-21.0,True
MPII_0050,mpii_sample_050.jpg,-4.0,9.5,True
