sample_id,image_filename,mask_filename,skin_pixel_ratio,width_px,height_px
SKIN_0001,skin_001.jpg,skin_001_mask.png,0.798,768,576
SKIN_0002,skin_002.jpg,skin_002_mask.png,0.479,3913,1901
SKIN_0003,skin_003.jpg,skin_003_mask.png,0.1982,413,551
SKIN_0004,skin_004.jpg,skin_004_mask.png,0.3675,512,512
SKIN_0005,skin_005.jpg,skin_005_mask.png,0.753,55,72
SKIN_0006,skin_006.jpg,skin_006_mask.png,0.7186,38,52
SKIN_0007,skin_007.jpg,skin_007_mask.png,0.846,44,58
SKIN_0008,skin_008.jpg,skin_008_mask.png,0.8632,46,58
SKIN_0009,skin_009.jpg,skin_009_mask.png,0.9003,38,52
SKIN_0010,skin_010.jpg,skin_010_mask.png,0.7103,81,105
SKIN_0011,skin_011.jpg,skin_011_mask.png,0.6617,101,135
SKIN_0012,skin_012.jpg,skin_012_mask.png,0.7428,88,124
SKIN_0013,skin_013.jpg,skin_013_mask.png,0.7508,80,104
SKIN_0014,skin_014.jpg,skin_014_mask.png,0.8322,104,131
SKIN_0015,skin_015.jpg,skin_015_mask.png,0.8645,61,75
SKIN_0016,skin_016.jpg,skin_016_mask.png,0.9075,62,79
SKIN_0017,skin_017.jpg,skin_017_mask.png,0.7427,46,61
SKIN_0018,skin_018.jpg,skin_018_mask.png,0.7908,46,61
SKIN_0019,skin_019.jpg,skin_019_mask.png,0.9949,40,49
SKIN_0020,skin_020.jpg,skin_020_mask.png,0.7312,56,80
SKIN_0021,skin_021.jpg,skin_021_mask.png,0.7057,54,65
SKIN_0022,skin_022.jpg,skin_022_mask.png,0.749,38,52
SKIN_0023,skin_023.jpg,skin_023_mask.png,0.7547,54,73
SKIN_0024,skin_024.jpg,skin_024_mask.png,0.6743,47,62
SKIN_0025,skin_025.jpg,skin_025_mask.png,0.6471,101,141
SKIN_0026,skin_026.jpg,skin_026_mask.png,0.6204,115,150
SKIN_0027,skin_027.jpg,skin_027_mask.png,0.6467,126,159
SKIN_0028,skin_028.jpg,skin_028_mask.png,0.9983,44,55
SKIN_0029,skin_029.jpg,skin_029_mask.png,0.9287,38,48
SKIN_0030,skin_030.jpg,skin_030_mask.png,0.6962,40,52
SKIN_0031,skin_031.jpg,skin_031_mask.png,1.0,38,49
SKIN_0032,skin_032.jpg,skin_032_mask.png,0.669,45,58
SKIN_0033,skin_033.jpg,skin_033_mask.png,0.8859,40,55
SKIN_0034,skin_034.jpg,skin_034_mask.png,0.6503,44,57
SKIN_0035,skin_035.jpg,skin_035_mask.png,0.9588,45,54
SKIN_0036,skin_036.jpg,skin_036_mask.png,0.8402,46,57
SKIN_0037,skin_037.jpg,skin_037_mask.png,0.8366,44,58
SKIN_0038,skin_038.jpg,skin_038_mask.png,0.9671,63,82
SKIN_0039,skin_039.jpg,skin_039_mask.png,0.7723,44,56
SKIN_0040,skin_040.jpg,skin_040_mask.png,0.8436,55,65
SKIN_0041,skin_041.jpg,skin_041_mask.png,0.9177,54,70
SKIN_0042,skin_042.jpg,skin_042_mask.png,0.7248,96,125
SKIN_0043,skin_043.jpg,skin_043_mask.png,0.5931,71,90
SKIN_0044,skin_044.jpg,skin_044_mask.png,0.7894,534,661
SKIN_0045,skin_045.jpg,skin_045_mask.png,0.6929,214,300
SKIN_0046,skin_046.jpg,skin_046_mask.png,0.7434,150,210
SKIN_0047,skin_047.jpg,skin_047_mask.png,0.8442,221,325
SKIN_0048,skin_048.jpg,skin_048_mask.png,0.8094,205,297
SKIN_0049,skin_049.jpg,skin_049_mask.png,0.7648,214,307
